photo_id,filename,permalink,credit,photo_url,downloaded
img01,pt1/img01.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img01,James Francis Hurley / State Library of New South Wales,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_01/main_1500.jpg?1478729903,True
img02,pt1/img02.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img02,AP,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_02/main_1500.jpg?1478729903,True
img03,pt1/img03.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img03,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_03/main_1500.jpg?1478729903,True
img04,pt1/img04.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img04,Nationaal Archief,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_04/main_1500.jpg?1478729903,True
img05,pt1/img05.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img05,AP,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_05/main_1500.jpg?1478729903,True
img06,pt1/img06.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img06,Agence de presse Meurisse,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_06/main_1500.jpg?1478729903,True
img07,pt1/img07.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img07,National Library of Scotland,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_07/main_1500.jpg?1478729903,True
img08,pt1/img08.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img08,Library of Congress,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_08/main_1500.jpg?1478729903,True
img09,pt1/img09.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img09,Bibliotheque nationale de France,https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_09/main_1500.jpg?1478729903,True
img10,pt1/img10.jpg,https://theatlantic.com/photo/2014/04/world-war-i-in-photos-the-western-front-part-i/507197/#img10,"CC BY-SA

                    Benjamin Hirschfeld",https://cdn.theatlantic.com/assets/media/img/photo/2016/11/world-war-i-in-photos-the-western-f/w_10/main_1500.jpg?1478729903,True
